,Unnamed: 0,video,human1,human2,size1,size2
0,0,1043_meal,21759,19918,98.24801533832043,53.366185002046684
1,1,1047_meal,24040,8496,103.68858641620551,65.19931354378676
2,2,1049_meal,9972,6049,125.16484941908803,89.91594243592546
3,3,1049_meal_1,3080,2149,75.71292634356026,97.97734690575386
4,4,1053_meal,2527,10519,93.07949891129552,101.14817185827307
5,5,1059_meal,12293,12219,70.57603829844543,106.98586221310214
6,6,1059_meal_1,2752,4946,94.33776755937956,67.04709889444618
7,7,1062_meal,22093,20749,73.03430560600547,52.19100982859976
8,8,1069_meal,23908,7072,108.79717218119515,61.62324037898153
9,9,1073_meal,4719,3245,103.95675476421943,61.548224053439476
10,10,1073_meal_1,6466,461,96.31340948069487,
11,11,1079_meal,1210,5970,119.70107162666083,113.95003405619356
12,12,1079_meal_1,13568,5267,97.1506832478588,80.97682455303554
13,13,1080_meal,10246,14121,109.47796807077137,68.85834938084305
14,14,1082_meal,13045,11581,95.70565325111588,53.36153169316004
15,15,1082_meal_1,1104,1279,71.04450163356039,108.65015419103436
16,16,1089_meal,6219,6166,93.68242468771675,133.80953364337108
17,17,1089_meal_1,4852,4780,76.66501523809403,59.442861751626324
18,18,1089_meal_2,5549,264,99.03014023537396,
19,19,1092_meal,21136,22083,46.81400720237475,74.69473911130875
20,20,1093_meal,11658,11147,123.45979052112247,53.154191031596554
21,21,1096_meal,14719,957,82.83601399567758,
22,22,1096_meal_1,2688,1169,91.17649476318205,66.00990009690796
23,23,1097_meal,8650,2700,77.64698884083565,
24,24,1098_meal,6264,4980,87.60673960230318,59.448539236977886
25,25,1098_meal_1,14084,8555,92.87116186525095,58.865443796778806
26,26,1099_meal,25185,23050,120.90532461508009,81.55157036080713
27,27,1104_meal,3862,3770,76.25496925704572,50.792968469327135
28,28,1104_meal_1,10380,394,109.63676373302393,
29,29,1105_meal,14960,7966,76.85188686545224,54.09601900618393
30,30,1107_meal,19621,5443,83.0996608556366,57.147185113631636
31,31,1108_meal,15566,4988,70.21239472955342,97.52389287438945
32,32,1108_meal_1,4457,4109,72.19504473948491,110.54051339994982
33,33,1108_meal_2,6148,7817,102.26745734655316,70.82398984357434
34,34,1112_meal,5741,757,83.25786092593953,83.79711820143832
35,35,1112_meal_1,5518,3756,132.8132377704374,78.29656500777719
36,36,1112_meal_2,786,522,82.33494309530161,89.18628136429962
37,37,1117_meal,20074,6424,108.8428890108003,97.04737583957228
38,38,1118_meal,21909,21480,82.37759880469686,119.35367303148726
39,39,1118_meal_1,8083,7249,74.31221584561123,56.07625295804472
40,40,1122_meal,5357,9923,129.27933983583617,85.5759837982002
41,41,1124_meal,13912,110,105.99454881692414,
42,42,1125_meal,29023,26498,69.73455860841662,99.0547461429111
43,43,1129_meal,27700,27259,78.77267375367548,111.20529095487966
44,44,1130_meal,23064,4355,78.68820459942624,57.46625425847183
45,45,1131_meal,10576,9801,86.88724869377226,49.873495149009834
46,46,1132_meal,22020,3092,80.8819841017297,53.31412107208437
47,47,1148_meal,7563,1989,112.51985049271448,
48,48,1161_meal,4115,841,71.12840023501381,55.1867764012784
49,49,1161_meal_1,8790,2725,95.7534489183091,73.87163841708774
50,50,1170_meal,7822,14807,51.824205240483955,71.46740886115856
51,51,1180_meal,31971,34693,49.514386883607855,59.50005452046484
52,52,1181_meal,36869,19208,74.47705606071524,63.89402764862351
53,53,1184_meal,20027,15664,71.84364486441713,45.957882476274385
54,54,1186_meal,15197,5117,71.43448894943604,51.2997712141629
55,55,1190_meal,53692,52949,91.50916909906704,59.191143478218024
56,56,1190_meal_1,53108,51154,90.76362917060507,58.397278108491214
57,57,1195_meal,12405,1257,83.39307242340595,
58,58,1195_meal_1,4176,235,85.7754657969236,65.01839020791947
59,59,1206_meal,12828,12950,64.54375412039182,109.04095043762776
60,60,1206_meal_1,9586,820,48.105975746144324,92.61432175222414
61,61,1210_meal,19200,14324,64.15311590982722,45.00868900230193
62,62,1217_meal,7528,1280,81.12536757738303,
63,63,1217_meal_1,6139,1986,99.81020964354707,69.01260802941485
64,64,1230_meal,15353,14636,112.02726627366904,85.6303645311641
65,65,1234_meal,10925,7663,68.71756976956469,47.69232169483473
66,66,1241_meal,1217,10972,67.22076822437805,66.57650294496703
67,67,1245_meal,52380,20151,85.73415327297107,42.014535562740214
68,68,1246_meal,18964,17768,86.54820451124289,99.28406122873217
69,69,1250_meal,23989,25301,105.99836765075587,77.22144721056243
70,70,1263_meal,19610,23157,112.31063017667286,74.0940178703722
71,71,1264_meal,38271,14474,63.889973901246144,40.18571494242537
72,72,1282_meal,17973,14482,72.72832850500842,82.6394661979385
73,73,2009_meal,31206,31188,83.85548568003728,51.56206239423691
74,74,2025_meal,4506,4429,123.92827883574924,70.076869751248
75,75,2025_meal_1,4669,4259,98.24221380290491,66.85842215131852
76,76,2027_meal,5085,965,105.11183886565911,63.9109233423203
