,video,human1,human2
0,1043_meal,21759,19918
1,1047_meal,24040,8496
2,1049_meal,9972,6049
3,1049_meal_1,3080,2149
4,1053_meal,2527,10519
5,1059_meal,12293,12219
6,1059_meal_1,2752,4946
7,1062_meal,22093,20749
8,1069_meal,23908,7072
9,1073_meal,4719,3245
10,1073_meal_1,6466,461
11,1079_meal,1210,5970
12,1079_meal_1,13568,5267
13,1080_meal,10246,14121
14,1082_meal,13045,11581
15,1082_meal_1,1104,1279
16,1089_meal,6219,6166
17,1089_meal_1,4852,4780
18,1089_meal_2,5549,264
19,1092_meal,21136,22083
20,1093_meal,11658,11147
21,1096_meal,14719,957
22,1096_meal_1,2688,1169
23,1097_meal,8650,2700
24,1098_meal,6264,4980
25,1098_meal_1,14084,8555
26,1099_meal,25185,23050
27,1104_meal,3862,3770
28,1104_meal_1,10380,394
29,1105_meal,14960,7966
30,1107_meal,19621,5443
31,1108_meal,15566,4988
32,1108_meal_1,4457,4109
33,1108_meal_2,6148,7817
34,1112_meal,5741,757
35,1112_meal_1,5518,3756
36,1112_meal_2,786,522
37,1117_meal,20074,6424
38,1118_meal,21909,21480
39,1118_meal_1,8083,7249
40,1122_meal,5357,9923
41,1124_meal,13912,110
42,1125_meal,29023,26498
43,1129_meal,27700,27259
44,1130_meal,23064,4355
45,1131_meal,10576,9801
46,1132_meal,22020,3092
47,1148_meal,7563,1989
48,1161_meal,4115,841
49,1161_meal_1,8790,2725
50,1170_meal,7822,14807
51,1180_meal,31971,34693
52,1181_meal,36869,19208
53,1184_meal,20027,15664
54,1186_meal,15197,5117
55,1190_meal,53692,52949
56,1190_meal_1,53108,51154
57,1195_meal,12405,1257
58,1195_meal_1,4176,235
59,1206_meal,12828,12950
60,1206_meal_1,9586,820
61,1210_meal,19200,14324
62,1217_meal,7528,1280
63,1217_meal_1,6139,1986
64,1230_meal,15353,14636
65,1234_meal,10925,7663
66,1241_meal,1217,10972
67,1245_meal,52380,20151
68,1246_meal,18964,17768
69,1250_meal,23989,25301
70,1263_meal,19610,23157
71,1264_meal,38271,14474
72,1282_meal,17973,14482
73,2009_meal,31206,31188
74,2025_meal,4506,4429
75,2025_meal_1,4669,4259
76,2027_meal,5085,965
